iter	Passed	Remaining
963	3854	143
964	3856	139
965	3858	135
966	3860	131
967	3863	127
968	3866	123
969	3868	119
970	3870	115
971	3873	111
972	3880	107
973	3882	103
974	3884	99
975	3886	95
976	3888	91
977	3891	87
978	3894	83
979	3896	79
980	3899	75
981	3901	71
982	3904	67
983	3910	63
984	3914	59
985	3916	55
986	3918	51
987	3921	47
988	3924	43
989	3926	39
990	3928	35
991	3931	31
992	3933	27
993	3935	23
994	3939	19
995	3941	15
996	3943	11
997	3945	7
998	3947	3
999	3949	0
